"year","state","state_po","candidate","party","candidatevotes","totalvotes","percent_total_votes"
"2000","ALASKA","AK","GEORGE W. BUSH","REPUBLICAN",7113,11040,64.429347826087
"2000","ALABAMA","AL","GEORGE W. BUSH","REPUBLICAN",138491,273763,50.5879172861197
"2000","ARKANSAS","AR","AL GORE","DEMOCRAT",68320,127151,53.7313902368051
"2000","ARIZONA","AZ","GEORGE W. BUSH","REPUBLICAN",479967,901699,53.2291818001351
"2000","CALIFORNIA","CA","AL GORE","DEMOCRAT",1710505,2695154,63.4659466583357
"2000","COLORADO","CO","GEORGE W. BUSH","REPUBLICAN",128294,200757,63.9051191241152
"2000","CONNECTICUT","CT","AL GORE","DEMOCRAT",221167,367556,60.1723274820708
"2000","DISTRICT OF COLUMBIA","DC","AL GORE","DEMOCRAT",171923,201894,85.1550813793377
"2000","DELAWARE","DE","AL GORE","DEMOCRAT",127539,212995,59.8788703960187
"2000","FLORIDA","FL","AL GORE","DEMOCRAT",387703,575143,67.4098441604957
"2000","GEORGIA","GA","AL GORE","DEMOCRAT",154509,219980,70.2377488862624
"2000","HAWAII","HI","AL GORE","DEMOCRAT",139618,255990,54.5404117348334
"2000","IOWA","IA","AL GORE","DEMOCRAT",89715,174167,51.5109061992226
"2000","IDAHO","ID","GEORGE W. BUSH","REPUBLICAN",75050,123485,60.7766125440337
"2000","ILLINOIS","IL","AL GORE","DEMOCRAT",1280547,1865907,68.6286615570872
"2000","INDIANA","IN","GEORGE W. BUSH","REPUBLICAN",137810,279903,49.2349135236135
"2000","KANSAS","KS","GEORGE W. BUSH","REPUBLICAN",129965,217536,59.7441343042071
"2000","KENTUCKY","KY","AL GORE","DEMOCRAT",149901,302362,49.5766663800345
"2000","LOUISIANA","LA","AL GORE","DEMOCRAT",137630,181221,75.945944454561
"2000","MASSACHUSETTS","MA","AL GORE","DEMOCRAT",404043,657048,61.4936808269715
"2000","MARYLAND","MD","AL GORE","DEMOCRAT",232453,371688,62.5398183422656
"2000","MAINE","ME","AL GORE","DEMOCRAT",74203,142620,52.0284672556444
"2000","MICHIGAN","MI","AL GORE","DEMOCRAT",530414,768627,69.0079843669296
"2000","MINNESOTA","MN","AL GORE","DEMOCRAT",307599,573846,53.6030572662352
"2000","MISSOURI","MO","AL GORE","DEMOCRAT",250631,486884,51.4765323978607
"2000","MISSISSIPPI","MS","AL GORE","DEMOCRAT",46789,87770,53.3086476016862
"2000","MONTANA","MT","GEORGE W. BUSH","REPUBLICAN",33922,57499,58.9958086227587
"2000","NORTH CAROLINA","NC","GEORGE W. BUSH","REPUBLICAN",142494,268220,53.125792260085
